地区名,センター,燃える,燃えない,カン、ペットボトル,ビン
本町1～5区,市民生活課,火 金,木,水,水
前坂,市民生活課,月 木,金,水,水
松丸,市民生活課,月 木,火,水,水
美川町1区の一部,市民生活課,月 木,火,水,水
美川町1区の一部,市民生活課,月 木,金,水,水
美川町2区,市民生活課,月 木,金,水,水
美里町,市民生活課,月 木,金,水,水
水落町1～2区,市民生活課,火 金,木,水,水
南春日野,市民生活課,火 金,木,水,水
南新在家,市民生活課,月 木,火,水,水
南六呂師,市民生活課,月 木,火,水,水
蓑道,市民生活課,月 木,火,水,水
明倫町1・5区,市民生活課,火 金,月,水,水
明倫町2～4区の一部,市民生活課,火 金,月,水,水
明倫町2～4区の一部,市民生活課,火 金,木,水,水
元町1～6区,市民生活課,火 金,木,水,水
森政地頭,市民生活課,火 金,月,水,水
森政領家,市民生活課,火 金,月,水,水
森目,市民生活課,月 木,金,水,水
森本,市民生活課,月 木,火,水,水
森山,市民生活課,火 金,月,水,水
矢,市民生活課,火 金,木,水,水
八町,市民生活課,月 木,火,水,水
大和町1区の一部,市民生活課,月 木,火,水,水
大和町1区の一部,市民生活課,火 金,木,水,水
大和町2～3区,市民生活課,火 金,木,水,水
弥生町1～2区,市民生活課,月 木,火,水,水
陽明町1～4丁目,市民生活課,月 木,金,水,水
横枕,市民生活課,月 木,火,水,水
吉,市民生活課,火 金,月,水,水
吉野町,市民生活課,月 木,金,水,水
若里,市民生活課,月 木,金,水,水
若杉町,市民生活課,月 木,火,水,水
蕨生,市民生活課,月 木,金,水,水
